baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
10969	1314.40670156224	-0.32293842203526	0.0890407433391225	-3.6268612539016	0.000286887346990793	0.0324236159369222
83547	55.6704234076676	0.493603210844426	0.136258997527575	3.62253663832022	0.000291728124808185	0.0327671911049984
4097	1399.68015978493	0.184968408632307	0.0511099160645584	3.61903174324661	0.0002957073679289	0.0330103758701488
11119	410.001824227919	0.43993265668697	0.12177120324096	3.61278073122458	0.000302930856382018	0.0336105479434586
6304	298.700616975288	0.36760972921584	0.101811427739397	3.61069221184872	0.000305380888975199	0.0336770342775316
5775	375.314215916613	0.253339124650685	0.0702614766405291	3.60566183296738	0.000311358381630924	0.0341293801937126
3156	1376.81234686741	0.310584267487424	0.086460665586092	3.59220305999338	0.000327894184735265	0.0357267220685203
330	40.7358184230095	1.38706232903019	0.386729421230195	3.58664806162902	0.00033495591009186	0.036278915119235
169981	525.976753206573	0.258970644860867	0.0722998198752978	3.58189889418172	0.00034110581245665	0.0367263986003622
100130027	69.4026892770908	0.379901379417185	0.106251803364072	3.57548170844171	0.000349583618645783	0.0374177854404628
11185	178.467985097839	-1.49376436212808	0.420331058492856	-3.55378060209051	0.00037973585903372	0.0401725214591719
6713	1903.87973943635	0.254316332087842	0.0715422584112724	3.55477081287905	0.00037830869531904	0.0401725214591719
374393	156.281196648111	-0.561293959526601	0.158024434490309	-3.5519441112825	0.000382396073319197	0.0402201095382434
64388	441.605209010802	-0.720758056101341	0.203134449974369	-3.54818228120481	0.000387899670883502	0.0405644966172195
64784	669.313661824406	0.202485992311087	0.0572696401556074	3.53566028633867	0.000406757399773601	0.0422934722644597
286827	274.116667673528	-0.330433129994399	0.093606417339989	-3.53002645955596	0.00041551810918729	0.0429589063339314
55672	794.425042155231	0.233071864987511	0.0660866472340182	3.52676183075508	0.000420674992845751	0.0432463399424931
8520	739.214822210034	-0.275547634603341	0.0781979691809514	-3.52371855035927	0.00042553599755456	0.0432572793938703
102724316	1505.74869685813	0.285841286277679	0.081090902855248	3.52494886865328	0.000423564539279217	0.0432572793938703
10772	1906.43065120995	-0.130005326284481	0.036950881335043	-3.51832815855431	0.000434274973964007	0.043753407692476
51061	658.706338276431	-0.185126014725123	0.0526262888833456	-3.51774785289313	0.000435225697534522	0.043753407692476
51474	6812.31483111348	-0.352075331760142	0.100182567363667	-3.51433728467044	0.000440852665077	0.0440755774381379
8604	531.258971760914	0.23824085071814	0.06792083843192	3.50762529171278	0.000452125392489818	0.0445478575242639
387680	1853.64723981973	0.17444349271492	0.0497496088849656	3.50642942979271	0.000454161849101419	0.0445478575242639
4665	968.633229645739	-0.257389732948178	0.0734198782544579	-3.50572268801808	0.00045536939434563	0.0445478575242639
6875	119.335274539694	0.424121798069702	0.120913392731744	3.50764947114377	0.000452084304895289	0.0445478575242639
27338	638.074958965988	-0.467796220347802	0.133746330971023	-3.49763778154895	0.000469398179334728	0.0456747019848915
114327	578.658952711737	0.22998580267507	0.0657906959256198	3.49571925694603	0.000472785847301616	0.0457596344547884
105378085	6.36552557982277	1.84088081280968	0.527555809497387	3.48945226205267	0.000484011499837591	0.0465982711695492
80830	1132.99317458534	0.424545622161746	0.122220866934702	3.47359360810758	0.000513538196546744	0.0491807422334977
255738	313.163889387078	0.625356302751656	0.180221116078796	3.46993913009749	0.000520576326364096	0.0493354522631307
26128	765.800853996376	-0.25505566383231	0.0734752748363752	-3.47131282462437	0.000517920259774876	0.0493354522631307
6892	1739.48349194039	0.282636184721679	0.0815428491180672	3.46610632052414	0.000528054420529247	0.0497848613261668
55379	3664.89245970449	-0.247730124514434	0.071571597812428	-3.46129096018892	0.000537591442688696	0.0504227520163068
54739	561.769179676278	0.333194115841385	0.0963311949192711	3.45883922773524	0.000542508628344991	0.0506230102634126
81844	2839.77168335728	0.232822881560351	0.0674564419561261	3.45145511397977	0.000557572491283163	0.0515004520375048
